	danceability	energy	loudness	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms
269	0.603	0.674	-6.808	0.0295	0.62	0.00261	0.26	0.559	121.261	264240.0
270	0.591	0.764	-5.484	0.0483	0.0383	0.0	0.103	0.478	169.928	141806.0
271	0.452	0.909	-3.977	0.0366	0.0313	0.0603	0.23	0.805	124.623	225787.0
272	0.729	0.844	-8.824	0.0344	0.149	2.87e-06	0.0604	0.777	131.459	275440.0
273	0.657	0.655	-8.3	0.0248	0.135	0.00303	0.102	0.668	92.259	222013.0
274	0.606	0.413	-7.902	0.0622	0.116	0.0	0.352	0.889	96.245	130627.0
275	0.549	0.242	-11.692	0.038	0.809	8.1e-05	0.127	0.286	144.211	180304.0
276	0.598	0.68	-11.431	0.029	0.209	0.00172	0.3	0.708	112.067	257627.0
277	0.656	0.291	-10.572	0.0293	0.872	0.0	0.114	0.298	103.971	232533.0
278	0.558	0.768	-9.997	0.0343	0.121	0.0626	0.124	0.429	81.909	260573.0
279	0.561	0.811	-6.157	0.0265	0.00515	3.6e-05	0.287	0.635	126.593	233270.0
280	0.561	0.85	-5.14	0.0585	0.00268	0.0	0.319	0.756	96.218	255094.0
281	0.557	0.442	-7.224	0.0243	0.731	1.46e-05	0.11	0.213	146.277	309600.0
282	0.682	0.772	-8.094	0.0323	0.0243	0.000793	0.316	0.841	114.098	242836.0
283	0.714	0.976	-7.349	0.0548	0.0284	0.00695	0.756	0.577	121.89	255373.0
284	0.567	0.512	-8.831	0.0357	0.545	0.0	0.296	0.334	130.271	252613.0
285	0.439	0.734	-12.168	0.097	0.262	0.333	0.244	0.54	145.703	212893.0
286	0.905	0.647	-5.065	0.107	0.0187	0.0	0.282	0.367	130.97	190534.0
287	0.688	0.284	-13.577	0.0574	0.359	0.0	0.127	0.482	83.433	208080.0
288	0.741	0.799	-4.56	0.062	0.239	0.000795	0.421	0.348	131.383	280600.0
289	0.642	0.722	-13.031	0.0375	0.0444	0.00388	0.122	0.836	172.406	207440.0
290	0.667	0.655	-9.339	0.0367	0.0491	0.000894	0.0641	0.657	134.212	506400.0
291	0.655	0.8	-4.901	0.033	0.0371	3.65e-05	0.131	0.595	110.346	259480.0
292	0.383	0.599	-5.432	0.0304	0.644	3.61e-05	0.311	0.547	148.018	217800.0
