,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Entry Of The Gladiators,0.382,0.558,-10.961,0.0379,0.891,0.942,0.0637,0.551,117.082,165000.0
"The Flower Duet (From ""Lakmé"")",0.32,0.291,-12.972,0.0394,0.963,0.000457,0.102,0.0783,102.281,230933.0
The Sorcerer's Apprentice,0.351,0.206,-22.657,0.0597,0.797,0.255,0.0738,0.0839,130.415,577440.0
4 Dance Episodes from Rodeo: IV. Hoe Down,0.45,0.266,-17.195,0.0393,0.914,0.919,0.0485,0.451,116.322,212800.0
The Valkyrie: Ride Of The Valkyries,0.492,0.955,-6.289,0.0775,4.34e-05,8.7e-05,0.395,0.386,144.974,206667.0
"Cantata, BWV 147: Jesus bleibet meine Freude",0.181,0.157,-19.318,0.0391,0.887,0.95,0.17,0.162,82.378,163453.0
The Nutcracker Suite: Waltz Of The Flowers,0.249,0.0724,-17.905,0.0498,0.926,0.00769,0.0632,0.158,169.357,267853.0
Carmen: Habanera,0.371,0.156,-14.632,0.0333,0.977,0.664,0.194,0.538,135.888,114107.0
Claire de Lune,0.365,0.01,-25.268,0.0519,0.995,0.924,0.0584,0.0364,135.048,347427.0
"Chopin: Piano Sonata No. 2 in B-Flat Minor, Op. 35 ""Funeral March"": III. Marche funèbre. Lento",0.311,0.00326,-24.979,0.0614,0.993,0.949,0.0803,0.0656,66.356,506893.0
"Piano Sonata No. 11 In A Major, K. 331: Rondo: Alla Turca",0.65,0.221,-23.662,0.0474,0.972,0.934,0.155,0.81,124.885,208237.0
Night on Bald Mountain,0.316,0.244,-18.218,0.0431,0.911,0.816,0.182,0.0642,105.101,660867.0
Minuet,0.273,0.00573,-39.245,0.0493,0.994,0.913,0.0857,0.174,91.621,193320.0
Grieg: Morning Mood,0.0766,0.0514,-19.834,0.044,0.953,0.843,0.149,0.0373,77.804,280080.0
"The Marriage of Figaro (Le nozze di Figaro), K. 492: Overture",0.287,0.162,-15.495,0.0355,0.891,0.911,0.11,0.329,148.268,240617.0
Stars And Stripes Forever - Instrumental,0.534,0.332,-15.565,0.0407,0.783,0.456,0.0417,0.198,124.887,212867.0
Bridal Chorus,0.549,0.663,-4.561,0.0406,0.404,0.0,0.334,0.354,129.741,261587.0
"The Four Seasons - Spring (Violin Concerto in E Major), RV 269: I. Allegro",0.491,0.142,-17.265,0.0361,0.764,0.74,0.248,0.234,112.295,202387.0
"Minuet in G Major, WoO 10, No.2",0.254,0.0617,-25.764,0.0404,0.966,0.697,0.309,0.267,95.146,170333.0
Adagio for Strings Op. 11,0.115,0.0858,-20.432,0.0447,0.912,0.9,0.0906,0.0296,89.296,596227.0
Dance Of The Mirlitons (Nutcracker),0.56,0.0499,-24.474,0.0695,0.951,0.748,0.0998,0.485,124.248,205907.0
The Imperial March (Darth Vader's Theme),0.577,0.379,-13.82,0.0368,0.753,0.955,0.126,0.284,103.112,179573.0
Bugler's Dream and Olympic Fanfare Medley,0.275,0.27,-16.06,0.0315,0.754,0.933,0.11,0.128,85.783,270373.0
"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",0.257,0.109,-21.356,0.0597,0.9,0.867,0.0762,0.307,75.02,151480.0
"The Barber of Seville, Act I Scene 1: Largo al factotum",0.39,0.379,-16.46,0.0729,0.976,0.688,0.446,0.461,141.266,273240.0
"Nutcracker Suite, Op. 71a, TH. 35: IIc. Danse russe Trépak (Tempo di Trépak, molto vivace)",0.409,0.203,-21.089,0.0394,0.989,0.886,0.163,0.965,172.776,63627.0
Sinfonies de Fanfare in D Major: 1. Rondeau,0.695,0.332,-13.607,0.046,0.835,0.776,0.13,0.776,76.855,114027.0
"Lullaby (Wiegenlied), Op. 49, No. 4",0.179,0.0289,-25.217,0.0562,0.968,0.944,0.183,0.215,180.358,32098.0
Minuet in G Major (The Lover's Concerto),0.494,0.0397,-26.695,0.0978,0.991,0.918,0.225,0.93,80.558,36467.0
"Rhapsody on a Theme of Paganini, Op. 43: Variation 18",0.51,0.0635,-20.551,0.0451,0.993,0.921,0.0939,0.127,74.246,192747.0
Copland: Fanfare for the Common Man:,0.141,0.185,-15.699,0.0481,0.982,0.948,0.0719,0.0379,54.869,195627.0
Piano Concerto No. 1 in B-Flat Minor,0.39,0.255,-14.178,0.0302,0.976,0.875,0.165,0.148,80.145,221257.0
La gazza ladra (The Thieving Magpie): Overture,0.304,0.157,-20.845,0.0524,0.832,0.357,0.119,0.43,159.452,610000.0
"Beethoven: Symphony No. 9 in D Minor, Op. 125 ""Choral"": II. Molto vivace - Presto",0.369,0.189,-22.125,0.0426,0.964,0.819,0.0769,0.281,113.456,822307.0
Hungarian Dance No. 5 In G Minor,0.358,0.167,-16.0,0.0354,0.899,0.96,0.103,0.601,144.561,138707.0
"Piano Sonata #16 in C Major, K 545 - 1. Allegro",0.315,0.248,-20.874,0.0385,0.982,0.913,0.113,0.66,120.285,291667.0
"Handel: Solomon, HWV 67: Sinfonia - The Arrival of the Queen of Sheba",0.607,0.323,-17.426,0.0416,0.938,0.933,0.274,0.891,117.574,188000.0
"Nutcracker Suite, Op. 71a: Chinese Dance (Tea)",0.567,0.237,-23.131,0.0332,0.955,0.695,0.0876,0.965,129.758,61667.0
The Story Begins,0.281,0.11,-21.532,0.0376,0.487,0.961,0.0796,0.0687,111.182,125333.0
"Romeo and Juliet Fantasy Overture (3rd version, 1880)",0.124,0.0398,-21.611,0.0379,0.957,0.823,0.28,0.0358,82.092,1175560.0
"Rigoletto: ""La donna è mobile""",0.37,0.248,-10.47,0.0371,0.965,2.12e-05,0.0911,0.384,133.33,141600.0
Carnival of the Animals: VII. Aquarium,0.194,0.0545,-32.039,0.0413,0.983,0.19,0.3,0.107,167.158,122667.0
"Grieg: Piano Concerto in A Minor, Op. 16: I. Allegro molto moderato (Excerpt)",0.342,0.126,-18.362,0.0375,0.979,0.911,0.1,0.0604,114.585,267773.0
"Nutcracker, Op. 71 - March",0.643,0.234,-19.752,0.0347,0.983,0.916,0.372,0.548,75.12,143867.0
"Mozart / Compl. Beyer: Requiem in D Minor, K. 626: III. Dies irae",0.4,0.281,-17.126,0.03,0.983,0.141,0.244,0.339,74.399,114200.0
Light Cavalry Overture,0.24,0.296,-16.9,0.0527,0.949,0.917,0.198,0.119,84.73,405520.0
Bouree in E Minor - J.S. Bach,0.629,0.255,-18.012,0.0814,0.994,0.933,0.11,0.706,117.038,104880.0
"Les Patineurs, Waltz, Op. 183",0.355,0.153,-18.326,0.0321,0.981,0.859,0.0553,0.206,99.312,452293.0
The Four Seasons - Winter (Violin Concerto in F Minor) RV 297: I. Allegro non molto,0.4,0.247,-18.249,0.0423,0.818,0.64,0.119,0.394,162.078,201853.0
"Carnival Of The Animals, Finale",0.533,0.346,-17.812,0.0383,0.838,0.559,0.0772,0.573,99.574,117093.0
Swan Lake - Scene,0.229,0.0333,-30.231,0.0498,0.994,0.874,0.117,0.751,178.107,120000.0
"Symphony No. 40 in G Minor, K. 550: I. Molto Allegro",0.327,0.332,-12.971,0.0404,0.877,0.751,0.129,0.285,118.85,435160.0
The Barber Of Seville: Overture,0.324,0.218,-16.495,0.0592,0.936,0.684,0.249,0.535,174.556,453067.0
"The Planets, op.32: 1. Mars, The Bringer Of War",0.293,0.317,-14.707,0.0336,0.689,0.923,0.121,0.0859,76.749,429600.0
The Washington Post,0.498,0.225,-16.748,0.0406,0.97,0.948,0.116,0.513,119.245,162600.0
Il Trovatore / Act 2: Anvil Chorus,0.441,0.347,-13.472,0.0402,0.883,0.0173,0.506,0.52,130.49,170427.0
"Mozart: Requiem in D Minor, K. 626: VIII. Lacrimosa",0.138,0.0318,-25.741,0.0363,0.991,0.735,0.348,0.0491,145.926,181400.0
Tritsch-Tratsch Polka Op 214,0.567,0.584,-12.955,0.0824,0.78,0.807,0.1,0.723,87.602,274149.0
'Montagues And Capulets' from 'Romeo And Juliet,0.412,0.267,-14.535,0.0388,0.947,0.939,0.106,0.365,114.041,100360.0
"Piano Concerto No. 21 in C Major, ""Elvira Madigan"": Ii. Andante",0.289,0.0233,-29.09,0.0336,0.982,0.887,0.0811,0.107,81.489,467175.0
"Symphony No. 7 in A Major, Op. 92: II. Allegretto",0.243,0.135,-17.87,0.0367,0.879,0.611,0.244,0.0396,73.967,89320.0
Sylvia-Pizzicato,0.342,0.0192,-39.219,0.0533,0.875,0.0787,0.0615,0.189,159.236,105000.0
Colonel Bogey March,0.578,0.332,-16.164,0.0548,0.709,0.903,0.277,0.119,119.346,181067.0
"Liebestraum, S. 541, No. 3",0.2,0.0377,-25.808,0.0428,0.982,0.907,0.611,0.0374,75.129,275827.0
"Turandot: ""Nessun dorma!""",0.212,0.301,-12.505,0.0384,0.963,0.0033,0.13,0.0798,84.025,177333.0
